,image_name,target
0,leptodactylus_pentadactylus_s_000004.png,6
1,camion_s_000148.png,9
2,tipper_truck_s_001250.png,9
3,american_elk_s_001521.png,4
4,station_wagon_s_000293.png,1
5,coupe_s_001735.png,1
6,cassowary_s_001300.png,2
7,cow_pony_s_001168.png,7
8,sea_boat_s_001584.png,8
9,tabby_s_001355.png,3
10,muntjac_s_001000.png,4
11,arabian_s_001354.png,7
12,quarter_horse_s_000672.png,7
13,passerine_s_000343.png,2
14,camion_s_001895.png,9
15,trailer_truck_s_000335.png,9
16,dumper_s_000821.png,9
17,alley_cat_s_000200.png,3
18,accentor_s_000677.png,2
19,frog_s_001671.png,6
20,capreolus_capreolus_s_000051.png,4
21,tomcat_s_000772.png,3
22,pickerel_frog_s_000446.png,6
23,bufo_s_001242.png,6
24,cassowary_s_001246.png,2
25,toad_s_001748.png,6
26,cat_s_000081.png,3
27,chihuahua_s_000825.png,5
28,alces_alces_s_000959.png,4
29,stealth_bomber_s_000554.png,0
30,twinjet_s_000663.png,0
31,trucking_rig_s_001402.png,9
32,auto_s_000609.png,1
33,tabby_cat_s_000983.png,3
34,wapiti_s_000416.png,4
35,monoplane_s_000895.png,0
36,true_cat_s_000247.png,3
37,tennessee_walker_s_000486.png,7
38,house_cat_s_000243.png,3
39,house_cat_s_001196.png,3
40,pekinese_s_001337.png,5
41,ostrich_s_001368.png,2
42,ostrich_s_001150.png,2
43,stallion_s_000046.png,7
44,station_waggon_s_000041.png,1
45,coupe_s_001944.png,1
46,estate_car_s_000580.png,1
47,accentor_s_000759.png,2
48,emu_novaehollandiae_s_000795.png,2
49,dive_bomber_s_001390.png,0
50,articulated_lorry_s_000131.png,9
51,pekinese_s_001093.png,5
52,broodmare_s_001463.png,7
53,delivery_truck_s_000834.png,9
54,songbird_s_001052.png,2
55,emu_s_000692.png,2
56,puppy_s_000115.png,5
57,wagtail_s_001821.png,2
58,dama_dama_s_000658.png,4
59,domestic_cat_s_001970.png,3
60,ambulance_s_003039.png,1
61,convertible_s_001763.png,1
62,tank_ship_s_001229.png,8
63,cassowary_s_001055.png,2
64,wagon_s_001142.png,1
65,police_cruiser_s_000620.png,1
66,moose_s_002308.png,4
67,aerial_ladder_truck_s_000584.png,9
68,saddle_horse_s_000717.png,7
69,tanker_s_001350.png,8
70,mongrel_s_001571.png,5
71,truck_s_000835.png,9
72,pickerel_frog_s_001195.png,6
73,lipizzan_s_000399.png,7
74,tabby_s_000074.png,3
75,automobile_s_001887.png,1
76,moving_van_s_001665.png,9
77,attack_aircraft_s_000153.png,0
78,domestic_cat_s_001596.png,3
79,compact_car_s_000048.png,1
80,domestic_cat_s_000009.png,3
81,pekingese_s_002089.png,5
82,capreolus_capreolus_s_001095.png,4
83,blenheim_spaniel_s_001103.png,5
84,stallion_s_000040.png,7
85,stud_mare_s_001672.png,7
86,elk_s_000920.png,4
87,lipizzan_s_001123.png,7
88,fire_truck_s_002721.png,9
89,elk_s_001888.png,4
90,finch_s_000750.png,2
91,tabby_s_000880.png,3
92,banana_boat_s_001324.png,8
93,twinjet_s_000591.png,0
94,shooting_brake_s_000029.png,1
95,rana_pipiens_s_000101.png,6
96,station_wagon_s_001387.png,1
97,station_wagon_s_002712.png,1
98,odocoileus_hemionus_s_000221.png,4
99,convertible_s_001715.png,1
100,abandoned_ship_s_000574.png,8
101,true_cat_s_000114.png,3
102,dustcart_s_000063.png,9
103,frog_s_000797.png,6
104,green_frog_s_001320.png,6
105,compact_car_s_001038.png,1
106,freighter_s_001351.png,8
107,mutt_s_000251.png,5
108,accentor_s_000303.png,2
109,lorry_s_001154.png,9
110,fire_truck_s_000894.png,9
111,cargo_vessel_s_000731.png,8
112,cruiser_s_000774.png,1
113,lippizan_s_000359.png,7
114,broodmare_s_001741.png,7
115,fighter_aircraft_s_000876.png,0
116,amphibious_aircraft_s_000216.png,0
